Title,Rating,Address,Dealings,Service_1,Cost_1,Service_2,Cost_2,Service_3,Cost_3,Service_4,Cost_4,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Beautify Me Ladies Salon & Spa,4.8,"Beautify Me Ladies Salon & Spa, Dubai, 9th St, Block E, Shop E08, Nadd Al Hamar Avenues, Nadd Al Hamar, Deira, دبي ند الحمر",Women only,Add on Natural Oil,aed 21,Hair Wash – Short / - للشعر القصير والمتوسط,aed 35,NATURAL HAIR EXTENSION ORIGINAL 1 SET,"aed 1,417",Express Quattrolio Protein Treatment /علاج الكواتروليو بروتين الطبيعي - للشعر القصير,aed 367.50,11:00 am - 10:00 pm,11:00 am - 10:00 pm,11:00 am - 10:00 pm,11:00 am - 10:00 pm,11:00 am - 10:00 pm,11:00 am - 10:00 pm,11:00 am - 10:00 pm
Code Hair Ladies Salon,4.9,"Sidra Tower, Al Sufouh 1, Dubai",Women only,Consultation,free,Roots Regrowth Colour,aed 340,Bond Repair Mist,aed 350,K18 REPAIR HAIR MIST,from aed 80,10:30 am - 8:30 pm,10:30 am - 8:30 pm,10:30 am - 8:30 pm,10:30 am - 9:00 pm,11:00 am - 9:00 pm,10:30 am - 8:30 pm,10:30 am - 8:30 pm
Cabello Lounge - Uptown Mirdif,4.9,"112 15th Street, Dubai Mirdif",Not specified,Highlights - Long,aed 450,Eyebrow Coloring,aed 40,Beard Protein,aed 170,Highlights - Short,aed 100,10:00 am - 10:00 pm,10:00 am - 10:00 pm,10:00 am - 10:00 pm,10:00 am - 10:00 pm,10:00 am - 10:00 pm,10:00 am - 10:00 pm,10:00 am - 10:00 pm
Royal Nordic Beauty Salon,4.9,"La Plage Residence, 55 A Street, Shop 3, Dubai Jumeirah 2",Women only,Liquid colours,from aed 300,Scalp&dandruff treatment,aed 262.50,NATULIQE HAIR TREATMENT,from aed 450,TOKIO IMKARAMI TREATMENT,from aed 800,10:00 am - 9:00 pm,10:00 am - 9:00 pm,10:00 am - 9:00 pm,10:00 am - 9:00 pm,10:00 am - 9:00 pm,10:00 am - 9:00 pm,10:00 am - 9:00 pm
Tess Avenue Beauty Salon,4.9,"170b Jumeirah Street, Villa 33, Dubai Jumeirah, Jumeirahjumeirah 1",Women only,Japanese Hair Spa,from aed 500,Air touch,"aed 1,000",Philip Martin's Hair Loss Treatment,aed 500,Hair Extension Application 1 Pc,aed 15,10:00 am - 10:00 pm,10:00 am - 10:00 pm,10:00 am - 10:00 pm,10:00 am - 10:00 pm,10:00 am - 10:00 pm,10:00 am - 10:00 pm,10:00 am - 10:00 pm
The Beauty House by Takhmina Usmani,4.8,"Dunya Tower, Downtown, Ground Floor, Shop #4, Dubai",Women only,Permanent curls by Kirjan,from aed 500,Fringe Cut,aed 150,Airtouch,"aed 1,400",Blow Dry Classic,aed 180,10:00 am - 8:00 pm,10:00 am - 8:00 pm,10:00 am - 8:00 pm,10:00 am - 8:00 pm,10:00 am - 8:00 pm,10:00 am - 8:00 pm,Closed
Amazigh Beauty Salon,4.9,"Al Ghaf 1, Dubai Arjan-dubailand, Al Barsha South",Women only,Full Colour,aed 310,Keratin,"aed 1,200",Nano Keratin hair extension removal,aed 300,Amonia Free,from aed 50,11:00 am - 10:00 pm,11:00 am - 10:00 pm,11:00 am - 10:00 pm,11:00 am - 10:00 pm,11:00 am - 10:00 pm,11:00 am - 10:00 pm,11:00 am - 10:00 pm
FRQNCY Hair Salon,5.0,"Resortz by Danube, Arjan, Ground Floor, Dubai",Women only,Face Frame,from aed 200,Full Moon Cut - Senior Stylist,aed 850,Roots Color,from aed 330,Haircut & Blow Dry,from aed 550,Closed,10:00 am - 7:00 pm,10:00 am - 7:00 pm,10:00 am - 7:00 pm,10:00 am - 7:00 pm,10:00 am - 7:00 pm,Closed
Maison Nefertari Salon,4.9,"Maison Nefartari, next to Esposa, Villa 6, Dubai Jumeirah, Jumeirah 1",Women only,Davines Express Treatments,aed 150,Wash & Blow Dry,aed 125,Rebalancing Cleansing Treatment,aed 350,Hair style-Party,aed 350,10:00 am - 8:00 pm,10:00 am - 8:00 pm,10:00 am - 8:00 pm,10:00 am - 8:00 pm,10:00 am - 8:00 pm,10:00 am - 8:00 pm,10:00 am - 8:00 pm
Nail'd it Dubai Mall,4.8,"Financial Center Street, Along Sheikh Zayed Road, Next to Burj Khalifa, Dubai Downtown Dubai",Women only,Signature Blow Dry,aed 75,VIP Room Hire,"aed 1,000",Add On Treatments,aed 220,Bleach,aed 500,10:00 am - 11:00 pm,10:00 am - 11:00 pm,10:00 am - 11:00 pm,10:00 am - 11:00 pm,10:00 am - 11:55 pm,10:00 am - 11:55 pm,10:00 am - 11:55 pm
